capital,funcao,populacao,total_pago,gasto_per_capita
Prefeitura Municipal do Rio de Janeiro - RJ,14 - Direitos da Cidadania,6625849,101080405.8,15.26
Prefeitura Municipal de Salvador - BA,14 - Direitos da Cidadania,2610987,34613772.77,13.26
Prefeitura Municipal de Palmas - TO,14 - Direitos da Cidadania,334454,4221534.19,12.62
Prefeitura Municipal de Porto Alegre - RS,14 - Direitos da Cidadania,1404269,17329187.56,12.34
Prefeitura Municipal de Maceió - AL,14 - Direitos da Cidadania,960667,11587809.3,12.06
Prefeitura Municipal de Goiânia - GO,14 - Direitos da Cidadania,1414483,14677299.1,10.38
Prefeitura Municipal de João Pessoa - PB,14 - Direitos da Cidadania,889618,8348061.77,9.38
Prefeitura Municipal de São Luís - MA,14 - Direitos da Cidadania,1061374,8498259.81,8.01
Prefeitura Municipal de Cuiabá - MT,14 - Direitos da Cidadania,694244,5193275.7,7.48
Prefeitura Municipal de Macapá - AP,14 - Direitos da Cidadania,478448,3105397.56,6.49
Prefeitura Municipal de Rio Branco - AC,14 - Direitos da Cidadania,364368,1286864.21,3.53
Prefeitura Municipal de Boa Vista - RR,14 - Direitos da Cidadania,408157,1275690.92,3.13
Prefeitura Municipal de Florianópolis - SC,14 - Direitos da Cidadania,574200,1616826.34,2.82
Prefeitura Municipal de Aracaju - SE,14 - Direitos da Cidadania,605309,1070855.78,1.77
Prefeitura Municipal de Teresina - PI,14 - Direitos da Cidadania,868523,1532048.97,1.76
Prefeitura Municipal de Curitiba - PR,14 - Direitos da Cidadania,1871789,807681.41,0.43
Prefeitura Municipal de Belém - PA,14 - Direitos da Cidadania,1367336,211600.0,0.15
Prefeitura Municipal de Vitória - ES,15 - Urbanismo,331785,566316104.05,1706.88
Prefeitura Municipal de Rio Branco - AC,15 - Urbanismo,364368,437294307.95,1200.14
Prefeitura Municipal de Recife - PE,15 - Urbanismo,1494586,1615459431.59,1080.87
Prefeitura Municipal de Manaus - AM,15 - Urbanismo,2054731,2207730707.15,1074.46
Prefeitura Municipal de Salvador - BA,15 - Urbanismo,2610987,2628687028.0,1006.78
Prefeitura Municipal de São Paulo - SP,15 - Urbanismo,12200180,10203722086.42,836.36
Prefeitura Municipal de Natal - RN,15 - Urbanismo,751932,621467094.73,826.49
Prefeitura Municipal de Boa Vista - RR,15 - Urbanismo,408157,323196710.84,791.84
Prefeitura Municipal de Teresina - PI,15 - Urbanismo,868523,658866511.86,758.61
Prefeitura Municipal de Palmas - TO,15 - Urbanismo,334454,243468149.28,727.96
Prefeitura Municipal do Rio de Janeiro - RJ,15 - Urbanismo,6625849,4398162807.02,663.79
Prefeitura Municipal de Maceió - AL,15 - Urbanismo,960667,621941177.29,647.41
Prefeitura Municipal de Macapá - AP,15 - Urbanismo,478448,306169969.28,639.92
Prefeitura Municipal de Aracaju - SE,15 - Urbanismo,605309,341095595.9,563.51
Prefeitura Municipal de Porto Velho - RO,15 - Urbanismo,461748,259121674.85,561.18
Prefeitura Municipal de Fortaleza - CE,15 - Urbanismo,2596157,1446782353.47,557.28
Prefeitura Municipal de Curitiba - PR,15 - Urbanismo,1871789,982059804.58,524.66
Prefeitura Municipal de São Luís - MA,15 - Urbanismo,1061374,554153799.19,522.11
Prefeitura Municipal de Campo Grande - MS,15 - Urbanismo,942140,461440758.67,489.78
Prefeitura Municipal de João Pessoa - PB,15 - Urbanismo,889618,421060615.74,473.3
Prefeitura Municipal de Florianópolis - SC,15 - Urbanismo,574200,269141057.25,468.72
Prefeitura Municipal de Belo Horizonte - MG,15 - Urbanismo,2392678,944967850.93,394.94
Prefeitura Municipal de Cuiabá - MT,15 - Urbanismo,694244,269589023.99,388.32
Prefeitura Municipal de Belém - PA,15 - Urbanismo,1367336,430372275.36,314.75
Prefeitura Municipal de Porto Alegre - RS,15 - Urbanismo,1404269,297214100.2,211.65
Prefeitura Municipal de Goiânia - GO,15 - Urbanismo,1414483,81471549.39,57.6
Prefeitura Municipal de São Paulo - SP,16 - Habitação,12200180,4760425320.14,390.19
Prefeitura Municipal de Aracaju - SE,16 - Habitação,605309,79823795.79,131.87
Prefeitura Municipal de Belém - PA,16 - Habitação,1367336,163200314.55,119.36
Prefeitura Municipal de João Pessoa - PB,16 - Habitação,889618,86373720.69,97.09
Prefeitura Municipal de Belo Horizonte - MG,16 - Habitação,2392678,147091418.19,61.48
Prefeitura Municipal de Salvador - BA,16 - Habitação,2610987,114298168.23,43.78
Prefeitura Municipal de Porto Alegre - RS,16 - Habitação,1404269,48133817.55,34.28
Prefeitura Municipal de Vitória - ES,16 - Habitação,331785,11144098.02,33.59
Prefeitura Municipal de Campo Grande - MS,16 - Habitação,942140,29452267.64,31.26
Prefeitura Municipal do Rio de Janeiro - RJ,16 - Habitação,6625849,196156560.8,29.6
Prefeitura Municipal de Goiânia - GO,16 - Habitação,1414483,40547203.57,28.67
Prefeitura Municipal de Palmas - TO,16 - Habitação,334454,8620884.81,25.78
Prefeitura Municipal de Cuiabá - MT,16 - Habitação,694244,14066158.85,20.26
Prefeitura Municipal de Teresina - PI,16 - Habitação,868523,14697268.11,16.92
Prefeitura Municipal de Fortaleza - CE,16 - Habitação,2596157,40831439.21,15.73
Prefeitura Municipal de Rio Branco - AC,16 - Habitação,364368,4567163.87,12.53
Prefeitura Municipal de Curitiba - PR,16 - Habitação,1871789,21807627.41,11.65
Prefeitura Municipal de Porto Velho - RO,16 - Habitação,461748,4922263.03,10.66
Prefeitura Municipal de Manaus - AM,16 - Habitação,2054731,17890865.45,8.71
Prefeitura Municipal de Recife - PE,16 - Habitação,1494586,12609674.12,8.44
Prefeitura Municipal de Natal - RN,16 - Habitação,751932,4154641.15,5.53
Prefeitura Municipal de Florianópolis - SC,16 - Habitação,574200,2822565.9,4.92
Prefeitura Municipal de Boa Vista - RR,16 - Habitação,408157,738021.43,1.81
Prefeitura Municipal de Maceió - AL,16 - Habitação,960667,649674.84,0.68
Prefeitura Municipal de Porto Alegre - RS,17 - Saneamento,1404269,1146938924.8,816.75
Prefeitura Municipal de Belém - PA,17 - Saneamento,1367336,745006745.96,544.86
Prefeitura Municipal de Goiânia - GO,17 - Saneamento,1414483,690618042.65,488.25
Prefeitura Municipal de Maceió - AL,17 - Saneamento,960667,320724684.28,333.86
Prefeitura Municipal de Belo Horizonte - MG,17 - Saneamento,2392678,693610252.14,289.89
Prefeitura Municipal de Rio Branco - AC,17 - Saneamento,364368,102200358.57,280.49
Prefeitura Municipal de São Luís - MA,17 - Saneamento,1061374,272625791.94,256.86
Prefeitura Municipal de Curitiba - PR,17 - Saneamento,1871789,354685557.19,189.49
Prefeitura Municipal de São Paulo - SP,17 - Saneamento,12200180,2022166546.08,165.75
Prefeitura Municipal de Palmas - TO,17 - Saneamento,334454,53716419.8,160.61
Prefeitura Municipal de Florianópolis - SC,17 - Saneamento,574200,89165305.34,155.29
Prefeitura Municipal do Rio de Janeiro - RJ,17 - Saneamento,6625849,1012104196.59,152.75
Prefeitura Municipal de Vitória - ES,17 - Saneamento,331785,41891471.38,126.26
Prefeitura Municipal de Aracaju - SE,17 - Saneamento,605309,69277398.14,114.45
Prefeitura Municipal de Recife - PE,17 - Saneamento,1494586,155960876.08,104.35
Prefeitura Municipal de Macapá - AP,17 - Saneamento,478448,33649562.37,70.33
Prefeitura Municipal de Porto Velho - RO,17 - Saneamento,461748,14932625.85,32.34
Prefeitura Municipal de Fortaleza - CE,17 - Saneamento,2596157,70949826.31,27.33
Prefeitura Municipal de Boa Vista - RR,17 - Saneamento,408157,11067761.59,27.12
Prefeitura Municipal de Manaus - AM,17 - Saneamento,2054731,34795248.56,16.93
Prefeitura Municipal de Cuiabá - MT,17 - Saneamento,694244,10782268.62,15.53
Prefeitura Municipal de Salvador - BA,17 - Saneamento,2610987,23085648.3,8.84
Prefeitura Municipal de João Pessoa - PB,17 - Saneamento,889618,3957663.04,4.45
Prefeitura Municipal de Teresina - PI,17 - Saneamento,868523,1586615.17,1.83
Prefeitura Municipal de Aracaju - SE,18 - Gestão Ambiental,605309,226366081.2,373.97
Prefeitura Municipal de Vitória - ES,18 - Gestão Ambiental,331785,77410153.23,233.31
Prefeitura Municipal de Curitiba - PR,18 - Gestão Ambiental,1871789,195420938.57,104.4
Prefeitura Municipal de São Paulo - SP,18 - Gestão Ambiental,12200180,1002412284.04,82.16
Prefeitura Municipal de Florianópolis - SC,18 - Gestão Ambiental,574200,43976506.49,76.59
Prefeitura Municipal de Belo Horizonte - MG,18 - Gestão Ambiental,2392678,151669473.6,63.39
Prefeitura Municipal de Boa Vista - RR,18 - Gestão Ambiental,408157,23505016.84,57.59
Prefeitura Municipal de Rio Branco - AC,18 - Gestão Ambiental,364368,16414003.43,45.05
Prefeitura Municipal de João Pessoa - PB,18 - Gestão Ambiental,889618,39079787.9,43.93
Prefeitura Municipal de Fortaleza - CE,18 - Gestão Ambiental,2596157,97571164.56,37.58
Prefeitura Municipal do Rio de Janeiro - RJ,18 - Gestão Ambiental,6625849,229894479.17,34.7
Prefeitura Municipal de Campo Grande - MS,18 - Gestão Ambiental,942140,32485789.23,34.48
Prefeitura Municipal de Macapá - AP,18 - Gestão Ambiental,478448,13851607.9,28.95
Prefeitura Municipal de Palmas - TO,18 - Gestão Ambiental,334454,8593428.06,25.69
Prefeitura Municipal de Porto Velho - RO,18 - Gestão Ambiental,461748,11298356.0,24.47
Prefeitura Municipal de Porto Alegre - RS,18 - Gestão Ambiental,1404269,32979580.51,23.49
Prefeitura Municipal de Salvador - BA,18 - Gestão Ambiental,2610987,49294566.91,18.88
Prefeitura Municipal de Belém - PA,18 - Gestão Ambiental,1367336,20468774.9,14.97
Prefeitura Municipal de Manaus - AM,18 - Gestão Ambiental,2054731,28093738.9,13.67
Prefeitura Municipal de Recife - PE,18 - Gestão Ambiental,1494586,18888255.77,12.64
Prefeitura Municipal de Cuiabá - MT,18 - Gestão Ambiental,694244,8254795.51,11.89
Prefeitura Municipal de Natal - RN,18 - Gestão Ambiental,751932,5390327.86,7.17
Prefeitura Municipal de Goiânia - GO,18 - Gestão Ambiental,1414483,3644969.37,2.58
Prefeitura Municipal de Teresina - PI,18 - Gestão Ambiental,868523,1576162.65,1.81
Prefeitura Municipal de Maceió - AL,18 - Gestão Ambiental,960667,939210.55,0.98
Prefeitura Municipal de São Luís - MA,18 - Gestão Ambiental,1061374,115626.44,0.11
Prefeitura Municipal de Belo Horizonte - MG,19 - Ciência e Tecnologia,2392678,132677131.45,55.45
Prefeitura Municipal de Salvador - BA,19 - Ciência e Tecnologia,2610987,119311248.54,45.7
Prefeitura Municipal de Belém - PA,19 - Ciência e Tecnologia,1367336,31696129.76,23.18
Prefeitura Municipal de Porto Velho - RO,19 - Ciência e Tecnologia,461748,5668139.3,12.28
Prefeitura Municipal de Goiânia - GO,19 - Ciência e Tecnologia,1414483,14927563.41,10.55
Prefeitura Municipal do Rio de Janeiro - RJ,19 - Ciência e Tecnologia,6625849,67838293.53,10.24
Prefeitura Municipal de Vitória - ES,19 - Ciência e Tecnologia,331785,2165709.49,6.53
Prefeitura Municipal de João Pessoa - PB,19 - Ciência e Tecnologia,889618,5221807.33,5.87
Prefeitura Municipal de Maceió - AL,19 - Ciência e Tecnologia,960667,4818988.86,5.02
Prefeitura Municipal de Recife - PE,19 - Ciência e Tecnologia,1494586,6277022.59,4.2
Prefeitura Municipal de Fortaleza - CE,19 - Ciência e Tecnologia,2596157,9873126.47,3.8
Prefeitura Municipal de Campo Grande - MS,19 - Ciência e Tecnologia,942140,1789808.41,1.9
Prefeitura Municipal de Aracaju - SE,19 - Ciência e Tecnologia,605309,781314.81,1.29
Prefeitura Municipal de Porto Alegre - RS,19 - Ciência e Tecnologia,1404269,1179146.15,0.84
Prefeitura Municipal de São Paulo - SP,19 - Ciência e Tecnologia,12200180,10109898.7,0.83
Prefeitura Municipal de Rio Branco - AC,19 - Ciência e Tecnologia,364368,241220.73,0.66
Prefeitura Municipal de Rio Branco - AC,20 - Agricultura,364368,59343898.84,162.87
Prefeitura Municipal de Palmas - TO,20 - Agricultura,334454,32366334.74,96.77
Prefeitura Municipal de Porto Velho - RO,20 - Agricultura,461748,30576803.83,66.22
Prefeitura Municipal de Boa Vista - RR,20 - Agricultura,408157,19947850.92,48.87
Prefeitura Municipal de Manaus - AM,20 - Agricultura,2054731,16954082.52,8.25
Prefeitura Municipal de Campo Grande - MS,20 - Agricultura,942140,7273918.9,7.72
Prefeitura Municipal de Macapá - AP,20 - Agricultura,478448,3165204.02,6.62
Prefeitura Municipal de São Luís - MA,20 - Agricultura,1061374,2291631.27,2.16
Prefeitura Municipal de Cuiabá - MT,20 - Agricultura,694244,838648.83,1.21
Prefeitura Municipal de Belo Horizonte - MG,20 - Agricultura,2392678,2683274.84,1.12
Prefeitura Municipal de João Pessoa - PB,20 - Agricultura,889618,484752.82,0.54
Prefeitura Municipal de Porto Alegre - RS,20 - Agricultura,1404269,506347.93,0.36
Prefeitura Municipal de São Paulo - SP,20 - Agricultura,12200180,3571780.0,0.29
Prefeitura Municipal de Salvador - BA,20 - Agricultura,2610987,457110.0,0.18
Prefeitura Municipal de Teresina - PI,20 - Agricultura,868523,159370.58,0.18
Prefeitura Municipal de Salvador - BA,22 - Indústria,2610987,30671399.72,11.75
Prefeitura Municipal do Rio de Janeiro - RJ,22 - Indústria,6625849,7292850.01,1.1
Prefeitura Municipal de Curitiba - PR,22 - Indústria,1871789,200000.0,0.11
Prefeitura Municipal de Salvador - BA,23 - Comércio e Serviços,2610987,341914518.08,130.95
Prefeitura Municipal de Curitiba - PR,23 - Comércio e Serviços,1871789,204616577.34,109.32
Prefeitura Municipal de Palmas - TO,23 - Comércio e Serviços,334454,25237038.13,75.46
Prefeitura Municipal de São Paulo - SP,23 - Comércio e Serviços,12200180,856756562.46,70.22
Prefeitura Municipal de Recife - PE,23 - Comércio e Serviços,1494586,74852345.28,50.08
Prefeitura Municipal de Maceió - AL,23 - Comércio e Serviços,960667,39903910.76,41.54
Prefeitura Municipal de Belo Horizonte - MG,23 - Comércio e Serviços,2392678,79136741.18,33.07
Prefeitura Municipal de Belém - PA,23 - Comércio e Serviços,1367336,36158409.75,26.44
Prefeitura Municipal de Cuiabá - MT,23 - Comércio e Serviços,694244,18206835.54,26.23
Prefeitura Municipal do Rio de Janeiro - RJ,23 - Comércio e Serviços,6625849,163789000.48,24.72
Prefeitura Municipal de Vitória - ES,23 - Comércio e Serviços,331785,7804478.54,23.52
Prefeitura Municipal de Manaus - AM,23 - Comércio e Serviços,2054731,34584289.54,16.83
Prefeitura Municipal de Aracaju - SE,23 - Comércio e Serviços,605309,9834174.8,16.25
Prefeitura Municipal de Boa Vista - RR,23 - Comércio e Serviços,408157,4715908.4,11.55
Prefeitura Municipal de Natal - RN,23 - Comércio e Serviços,751932,4508925.46,6.0
Prefeitura Municipal de Macapá - AP,23 - Comércio e Serviços,478448,2354698.81,4.92
Prefeitura Municipal de Goiânia - GO,23 - Comércio e Serviços,1414483,6546040.79,4.63
Prefeitura Municipal de Teresina - PI,23 - Comércio e Serviços,868523,2938147.55,3.38
Prefeitura Municipal de Porto Velho - RO,23 - Comércio e Serviços,461748,1471265.0,3.19
Prefeitura Municipal de Fortaleza - CE,23 - Comércio e Serviços,2596157,7381160.91,2.84
Prefeitura Municipal de João Pessoa - PB,23 - Comércio e Serviços,889618,2477044.22,2.78
Prefeitura Municipal de Porto Alegre - RS,23 - Comércio e Serviços,1404269,3765662.55,2.68
Prefeitura Municipal de Campo Grande - MS,23 - Comércio e Serviços,942140,1478736.09,1.57
Prefeitura Municipal de São Luís - MA,23 - Comércio e Serviços,1061374,559164.13,0.53
Prefeitura Municipal de Rio Branco - AC,23 - Comércio e Serviços,364368,17600.0,0.05
Prefeitura Municipal de Palmas - TO,24 - Comunicações,334454,38884729.95,116.26
Prefeitura Municipal de Salvador - BA,24 - Comunicações,2610987,106388920.71,40.75
Prefeitura Municipal de São Paulo - SP,24 - Comunicações,12200180,303084932.43,24.84
Prefeitura Municipal de João Pessoa - PB,24 - Comunicações,889618,13858664.07,15.58
Prefeitura Municipal de Vitória - ES,24 - Comunicações,331785,5091425.6,15.35
Prefeitura Municipal de Belém - PA,24 - Comunicações,1367336,13313729.48,9.74
Prefeitura Municipal de Campo Grande - MS,24 - Comunicações,942140,6113685.39,6.49
Prefeitura Municipal de Fortaleza - CE,24 - Comunicações,2596157,2352528.96,0.91
Prefeitura Municipal de Fortaleza - CE,25 - Energia,2596157,186804206.58,71.95
Prefeitura Municipal de João Pessoa - PB,25 - Energia,889618,28713555.96,32.28
Prefeitura Municipal de Aracaju - SE,25 - Energia,605309,18658546.87,30.82
Prefeitura Municipal de São Paulo - SP,26 - Transporte,12200180,10543452167.35,864.2
Prefeitura Municipal de Belo Horizonte - MG,26 - Transporte,2392678,1060584773.3,443.26
Prefeitura Municipal de Goiânia - GO,26 - Transporte,1414483,524377860.54,370.72
Prefeitura Municipal do Rio de Janeiro - RJ,26 - Transporte,6625849,2155713525.78,325.35
Prefeitura Municipal de Palmas - TO,26 - Transporte,334454,104784358.74,313.3
Prefeitura Municipal de Manaus - AM,26 - Transporte,2054731,519375411.45,252.77
Prefeitura Municipal de Porto Alegre - RS,26 - Transporte,1404269,298070661.65,212.26
Prefeitura Municipal de Rio Branco - AC,26 - Transporte,364368,71409067.79,195.98
Prefeitura Municipal de Campo Grande - MS,26 - Transporte,942140,184503644.77,195.83
Prefeitura Municipal de Boa Vista - RR,26 - Transporte,408157,57543647.69,140.98
Prefeitura Municipal de Aracaju - SE,26 - Transporte,605309,76529011.54,126.43
Prefeitura Municipal de Salvador - BA,26 - Transporte,2610987,306539442.97,117.4
Prefeitura Municipal de Maceió - AL,26 - Transporte,960667,110968975.0,115.51
Prefeitura Municipal de São Luís - MA,26 - Transporte,1061374,115317724.02,108.65
Prefeitura Municipal de Fortaleza - CE,26 - Transporte,2596157,231706218.73,89.25
Prefeitura Municipal de Cuiabá - MT,26 - Transporte,694244,60183005.86,86.69
Prefeitura Municipal de Teresina - PI,26 - Transporte,868523,68571366.79,78.95
Prefeitura Municipal de Belém - PA,26 - Transporte,1367336,86033117.42,62.92
Prefeitura Municipal de Macapá - AP,26 - Transporte,478448,27461260.58,57.4
Prefeitura Municipal de Florianópolis - SC,26 - Transporte,574200,32705155.21,56.96
Prefeitura Municipal de João Pessoa - PB,26 - Transporte,889618,35949967.0,40.41
Prefeitura Municipal de Porto Velho - RO,26 - Transporte,461748,1377877.57,2.98
Prefeitura Municipal de São Paulo - SP,27 - Desporto e Lazer,12200180,700778733.25,57.44
Prefeitura Municipal de Vitória - ES,27 - Desporto e Lazer,331785,18291003.84,55.13
Prefeitura Municipal do Rio de Janeiro - RJ,27 - Desporto e Lazer,6625849,251157933.71,37.91
Prefeitura Municipal de Palmas - TO,27 - Desporto e Lazer,334454,12515544.76,37.42
Prefeitura Municipal de Recife - PE,27 - Desporto e Lazer,1494586,53266603.16,35.64
Prefeitura Municipal de Salvador - BA,27 - Desporto e Lazer,2610987,91183546.47,34.92
Prefeitura Municipal de Curitiba - PR,27 - Desporto e Lazer,1871789,59603153.1,31.84
Prefeitura Municipal de Boa Vista - RR,27 - Desporto e Lazer,408157,12638442.81,30.96
Prefeitura Municipal de Goiânia - GO,27 - Desporto e Lazer,1414483,35873366.58,25.36
Prefeitura Municipal de Aracaju - SE,27 - Desporto e Lazer,605309,14858306.54,24.55
Prefeitura Municipal de Porto Velho - RO,27 - Desporto e Lazer,461748,10887139.38,23.58
Prefeitura Municipal de Campo Grande - MS,27 - Desporto e Lazer,942140,18145622.11,19.26
Prefeitura Municipal de Maceió - AL,27 - Desporto e Lazer,960667,15698671.77,16.34
Prefeitura Municipal de Florianópolis - SC,27 - Desporto e Lazer,574200,8425661.95,14.67
Prefeitura Municipal de Rio Branco - AC,27 - Desporto e Lazer,364368,4955295.16,13.6
Prefeitura Municipal de Natal - RN,27 - Desporto e Lazer,751932,9385155.7,12.48
Prefeitura Municipal de João Pessoa - PB,27 - Desporto e Lazer,889618,11094947.88,12.47
Prefeitura Municipal de Manaus - AM,27 - Desporto e Lazer,2054731,24984911.93,12.16
Prefeitura Municipal de Belo Horizonte - MG,27 - Desporto e Lazer,2392678,27880481.82,11.65
Prefeitura Municipal de Teresina - PI,27 - Desporto e Lazer,868523,9620717.74,11.08
Prefeitura Municipal de Fortaleza - CE,27 - Desporto e Lazer,2596157,19147794.74,7.38
Prefeitura Municipal de Macapá - AP,27 - Desporto e Lazer,478448,3521255.0,7.36
Prefeitura Municipal de Belém - PA,27 - Desporto e Lazer,1367336,7809759.78,5.71
Prefeitura Municipal de Cuiabá - MT,27 - Desporto e Lazer,694244,3854072.77,5.55
Prefeitura Municipal de Porto Alegre - RS,27 - Desporto e Lazer,1404269,5882971.37,4.19
Prefeitura Municipal de São Luís - MA,27 - Desporto e Lazer,1061374,3050101.8,2.87
Prefeitura Municipal de Recife - PE,28 - Encargos Especiais,1494586,988576852.54,661.44
Prefeitura Municipal de Belém - PA,28 - Encargos Especiais,1367336,856766204.02,626.6
Prefeitura Municipal de Belo Horizonte - MG,28 - Encargos Especiais,2392678,1287246954.02,537.99
Prefeitura Municipal do Rio de Janeiro - RJ,28 - Encargos Especiais,6625849,3209309197.63,484.36
Prefeitura Municipal de Manaus - AM,28 - Encargos Especiais,2054731,988650380.91,481.16
Prefeitura Municipal de Vitória - ES,28 - Encargos Especiais,331785,146341201.1,441.07
Prefeitura Municipal de São Paulo - SP,28 - Encargos Especiais,12200180,4571143866.63,374.68
Prefeitura Municipal de Goiânia - GO,28 - Encargos Especiais,1414483,515964116.94,364.77
Prefeitura Municipal de Fortaleza - CE,28 - Encargos Especiais,2596157,918607848.07,353.83
Prefeitura Municipal de Porto Velho - RO,28 - Encargos Especiais,461748,155540242.95,336.85
Prefeitura Municipal de Aracaju - SE,28 - Encargos Especiais,605309,203509021.88,336.21
Prefeitura Municipal de Florianópolis - SC,28 - Encargos Especiais,574200,181484527.48,316.07
Prefeitura Municipal de Palmas - TO,28 - Encargos Especiais,334454,105348294.01,314.99
Prefeitura Municipal de Teresina - PI,28 - Encargos Especiais,868523,260189257.15,299.58
Prefeitura Municipal de João Pessoa - PB,28 - Encargos Especiais,889618,265101359.98,297.99
Prefeitura Municipal de Porto Alegre - RS,28 - Encargos Especiais,1404269,391964547.16,279.12
Prefeitura Municipal de Curitiba - PR,28 - Encargos Especiais,1871789,520536569.08,278.1
Prefeitura Municipal de Cuiabá - MT,28 - Encargos Especiais,694244,183598926.5,264.46
Prefeitura Municipal de Salvador - BA,28 - Encargos Especiais,2610987,656169156.61,251.31
Prefeitura Municipal de Natal - RN,28 - Encargos Especiais,751932,184083172.15,244.81
Prefeitura Municipal de Campo Grande - MS,28 - Encargos Especiais,942140,207693904.2,220.45
Prefeitura Municipal de São Luís - MA,28 - Encargos Especiais,1061374,202997342.51,191.26
Prefeitura Municipal de Maceió - AL,28 - Encargos Especiais,960667,174547355.28,181.69
Prefeitura Municipal de Boa Vista - RR,28 - Encargos Especiais,408157,65043550.81,159.36
Prefeitura Municipal de Rio Branco - AC,28 - Encargos Especiais,364368,46580433.83,127.84
